Main_Info,Extra_Info,Description,Properties
"BMW 730,3.0 L,2021 il,75 500 km","ŞəhərBakıMarkaBMWModel730Buraxılış ili2021Ban növüSedanRəngQaraMühərrik3.0 L / 249 a.g. / DizelYürüş75 500 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrSahiblər2VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxuBMW 730d xDrive Long IndividualAvtomobil 0-kmden Avropadan gətirilib, improtex servisdə Zəmanətə qoyulub və orda qulluq olunub, zəmanət müddəti bitib. Bütün dövri texniki təmir işləri (mühərrik yağı, Hava filtri, salon filtri, yanacaq filtri, əyləc mayesi, ön və arxa əyləc qəlibləri) rəsmi servisdə yenicə görülüb.Yalnız arxa sağ qapısında rəngsaz işi görülüb.Təchizata daxildir:-Avtomobilin məsafədən işə salınması və sensorlu açar ilə məsafədən park edilməsi-Avtomobilin kondisioner sisteminin açar vasitəsilə məsafədən idarə olunması-BMW Lazer ön faralar-Nappa dəri ilə üzlənmiş oturacaqlar və cihazlar paneli-Ön və arxa oturacaqların qızdırılması-Ön və Arxa oturacaqların ventilyasiyası-Ön və arxa oturacaqların masaj funksiyası-Sükan qızdırıcısı-360 dərəcə kamera sistemi, avtomatik parklanma-Peşəkar sürücü asistent dəsti-Distronik, Ölü zona sensorları, Zolaqda saxlama, Yandan toqquşma sensoru, Piyada keçidi sensoru, Yuxu sensoru-Sürət məhdudiyyəti nişanlarının tanınması və displeydə göstərilməsi-Arxa Təkərlərin aktiv idarəolunması-Pnevmatik asqı sistemi-Açarsız daxilolma, ayaq sensoru ilə bagajın açılması-Avtomatik arxa və yan pərdələr-Sky Lounge tipli şüşə lyuk-Alkantar tavan örtüyü-Antiblik ön alın şüşəsi və ikiqat qabaq yan şüşələr-Zavod istehsalı arxa qara yan şüşələr və arxa 2 qat patpres-Simsiz şarj-Apple Car Play dəsti-Android auto-Monitorun jestlərlə idarə olunması-Arxa monitorlar-4 Zona klima kontrol sistemi-Komfor tipli ön və arxa oturacaqlar-Hava ionlaşdırıcı ətir dəsti-Head up proyeksiyalı displey - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9422670","BMW 730d xDrive Long IndividualAvtomobil 0-kmden Avropadan gətirilib, improtex servisdə Zəmanətə qoyulub və orda qulluq olunub, zəmanət müddəti bitib. Bütün dövri texniki təmir işləri (mühərrik yağı, Hava filtri, salon filtri, yanacaq filtri, əyləc mayesi, ön və arxa əyləc qəlibləri) rəsmi servisdə yenicə görülüb.Yalnız arxa sağ qapısında rəngsaz işi görülüb.Təchizata daxildir:-Avtomobilin məsafədən işə salınması və sensorlu açar ilə məsafədən park edilməsi-Avtomobilin kondisioner sisteminin açar vasitəsilə məsafədən idarə olunması-BMW Lazer ön faralar-Nappa dəri ilə üzlənmiş oturacaqlar və cihazlar paneli-Ön və arxa oturacaqların qızdırılması-Ön və Arxa oturacaqların ventilyasiyası-Ön və arxa oturacaqların masaj funksiyası-Sükan qızdırıcısı-360 dərəcə kamera sistemi, avtomatik parklanma-Peşəkar sürücü asistent dəsti-Distronik, Ölü zona sensorları, Zolaqda saxlama, Yandan toqquşma sensoru, Piyada keçidi sensoru, Yuxu sensoru-Sürət məhdudiyyəti nişanlarının tanınması və displeydə göstərilməsi-Arxa Təkərlərin aktiv idarəolunması-Pnevmatik asqı sistemi-Açarsız daxilolma, ayaq sensoru ilə bagajın açılması-Avtomatik arxa və yan pərdələr-Sky Lounge tipli şüşə lyuk-Alkantar tavan örtüyü-Antiblik ön alın şüşəsi və ikiqat qabaq yan şüşələr-Zavod istehsalı arxa qara yan şüşələr və arxa 2 qat patpres-Simsiz şarj-Apple Car Play dəsti-Android auto-Monitorun jestlərlə idarə olunması-Arxa monitorlar-4 Zona klima kontrol sistemi-Komfor tipli ön və arxa oturacaqlar-Hava ionlaşdırıcı ətir dəsti-Head up proyeksiyalı displey",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,68 000 USD
"Toyota Land Cruiser Prado,2.8 L,2024 il,yeni","ŞəhərBakıMarkaToyotaModelLand Cruiser PradoBuraxılış ili2024Ban növüOffroader / SUV, 5 qapıRəngAğMühərrik2.8 L / 200 a.g. / DizelYürüş0 kmSürətlər qutusuAvtomatÖtürücüTamYeniBəliYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxu-Rengler Muxtelifdir.-RƏSMİ ZƏMANƏT - 160.000 KM. VƏ YA 10 İLUzunluq x En x Hündürlük mm 4925x1940x1925Klirens mm 205,3Avtomobilin çəkisi kg 3150Oturacaqların sayı 5MühərrikMühərrikin həcmi cc 2755Silindrlərin sayı 4Maksimal güc at/g 204Maksimal surət km/s 175Yanacaq çəninin həcmi L 80Asma və yolsuzluq sistemiDifferential lock - rear electrical diff lockTransmissiyaTransmissiya 8ATTəhlükəsizlikABSparking brakeparking support alt/brakeToqquşma əleyhinə sistem (PSC)tss 3 /lss +3pre-crash systemÖn sürücü və sərnişin təhlükəsizlik yastıqlarıYan, pərdə tipli və diz üçün təh-lik yastıqlarılane keep assist (lka)Epbvsc+atrcvsc+dac+crawlvsc+mts+dac+crawlBSM (Blind spot monitor)immobilizer+alarmParklama dəstək sistemiintegrated sport driving - 3 modeİnteryerSükanda audio idarəetmə sistemi və telefonDəri sükanSükanın qızdırılması Yeni Toyota Land Cruiser 250 . 2.8L dizel 2024! - Düzəliş etElanı silElanın nömrəsi: 8917255","-Rengler Muxtelifdir.-RƏSMİ ZƏMANƏT - 160.000 KM. VƏ YA 10 İLUzunluq x En x Hündürlük mm 4925x1940x1925Klirens mm 205,3Avtomobilin çəkisi kg 3150Oturacaqların sayı 5MühərrikMühərrikin həcmi cc 2755Silindrlərin sayı 4Maksimal güc at/g 204Maksimal surət km/s 175Yanacaq çəninin həcmi L 80Asma və yolsuzluq sistemiDifferential lock - rear electrical diff lockTransmissiyaTransmissiya 8ATTəhlükəsizlikABSparking brakeparking support alt/brakeToqquşma əleyhinə sistem (PSC)tss 3 /lss +3pre-crash systemÖn sürücü və sərnişin təhlükəsizlik yastıqlarıYan, pərdə tipli və diz üçün təh-lik yastıqlarılane keep assist (lka)Epbvsc+atrcvsc+dac+crawlvsc+mts+dac+crawlBSM (Blind spot monitor)immobilizer+alarmParklama dəstək sistemiintegrated sport driving - 3 modeİnteryerSükanda audio idarəetmə sistemi və telefonDəri sükanSükanın qızdırılması Yeni Toyota Land Cruiser 250 . 2.8L dizel 2024!",,67 200 USD
"Toyota Camry,2.0 L,2025 il,yeni","ŞəhərBakıMarkaToyotaModelCamryBuraxılış ili2025Ban növüSedanRəngQaraMühərrik2.0 L / 197 a.g. / HibridYürüş0 kmSürətlər qutusuVariatorÖtürücüÖnYeniBəliYerlərin sayı5Sahiblər0VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbÇin - Davamını oxuTam yeni Toyota Camry 2025SPORT PLUS 3 əlavə paket (1970$) mövcuddur360 kameraHedap display64 rəng ambians işıqlarÜz tanima sistemiParfumLCA zolağının dəyişdirilməsinə kömək funksiyasıFCTA irəliyə doğru yol kəsişməsi xəbərdarlığı sistemi DMC sürücü statusunun monitorinqi sistemiÜz tanınması sistemiRəqəmsal açarPVM panoramik monitorinq sistemi (HD)Şəffaf şassiSükan çarxının elektrik tənzimlənməsiSürücü oturacağının yaddaşı və ağıllı giriş-çıxış funksiyalarıFiltrasiya sistemiÖn oturacağın isidilməsi/ventilyasiya funksiyası64 rəngli tənzimlənən qanad mühit işığıIP inkişaf etmiş teksturalı dekorativ mebelAğıllı ətir sistemi (3 ətir daxil olmaqla)Head-up displayCarplayPanorama tavanAğıllı cruise-control ve s.Daha ətraflı məlumat almaq üçün bizimlə əlaqə saxlayın !Xahiş olunur zeng ederken qiymetle bagli müzakire aparmayin!Barter yalniz avtomobille mumkundur!Geniş Avtomobil Çeşidi,Keyfiyyətə Zəmanət Və Rahat Rəsmiləşdirmə. Bütun AvtomobillərəAbu Dabi Cars №1 də Baxa Bilərsiniz!İstənilən Növ Yeni Avtomobilər Sifarişlə gətirilirÜnvan: Nizami r, Babək pr. 61C (GM serviz, Arzu şadlıq evi ile üzbəüz) - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9381920","Tam yeni Toyota Camry 2025SPORT PLUS 3 əlavə paket (1970$) mövcuddur360 kameraHedap display64 rəng ambians işıqlarÜz tanima sistemiParfumLCA zolağının dəyişdirilməsinə kömək funksiyasıFCTA irəliyə doğru yol kəsişməsi xəbərdarlığı sistemi DMC sürücü statusunun monitorinqi sistemiÜz tanınması sistemiRəqəmsal açarPVM panoramik monitorinq sistemi (HD)Şəffaf şassiSükan çarxının elektrik tənzimlənməsiSürücü oturacağının yaddaşı və ağıllı giriş-çıxış funksiyalarıFiltrasiya sistemiÖn oturacağın isidilməsi/ventilyasiya funksiyası64 rəngli tənzimlənən qanad mühit işığıIP inkişaf etmiş teksturalı dekorativ mebelAğıllı ətir sistemi (3 ətir daxil olmaqla)Head-up displayCarplayPanorama tavanAğıllı cruise-control ve s.Daha ətraflı məlumat almaq üçün bizimlə əlaqə saxlayın !Xahiş olunur zeng ederken qiymetle bagli müzakire aparmayin!Barter yalniz avtomobille mumkundur!Geniş Avtomobil Çeşidi,Keyfiyyətə Zəmanət Və Rahat Rəsmiləşdirmə. Bütun AvtomobillərəAbu Dabi Cars №1 də Baxa Bilərsiniz!İstənilən Növ Yeni Avtomobilər Sifarişlə gətirilirÜnvan: Nizami r, Babək pr. 61C (GM serviz, Arzu şadlıq evi ile üzbəüz)",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası,35 700 USD
"BMW 528,2.8 L,1997 il,288 000 km","ŞəhərBakıMarkaBMWModel528Buraxılış ili1997Ban növüSedanRəngGümüşüMühərrik2.8 L / 193 a.g. / BenzinYürüş288 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbDigər - Davamını oxuTecili satilir masinin mator karopqa xadavoyu tam idyla veziyetdedi istenilen yerde yoxlada bilersiniz Kredit munkundu ilkin odenis 3800 azn verilse qalan mebleqi 12.18.24 aya dek kredit etmeye komeklik gostere bilerik barter qiymeti ferqki olacaq - ABSLyukYağış sensoruMərkəzi qapanmaKondisionerDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələr - Düzəliş etElanı silElanın nömrəsi: 9459241",Tecili satilir masinin mator karopqa xadavoyu tam idyla veziyetdedi istenilen yerde yoxlada bilersiniz Kredit munkundu ilkin odenis 3800 azn verilse qalan mebleqi 12.18.24 aya dek kredit etmeye komeklik gostere bilerik barter qiymeti ferqki olacaq,ABSLyukYağış sensoruMərkəzi qapanmaKondisionerDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələr,7 700 AZN
"Hyundai Elantra,2.0 L,2019 il,76 000 km","ŞəhərBakıMarkaHyundaiModelElantraBuraxılış ili2019Ban növüSedanRəngGümüşüMühərrik2.0 L / 150 a.g. / BenzinYürüş76 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuVin ve carfax tər təmiz. Zədəsis ve udarsızdır. Dəyişən detali yoxdur. Quru ştatın maşınıdır yəni çürük, pasdan söhbət belə gedə bilməz! İstənilən servisdə yoxlatdıra bilərsiz. Avtomobil bir sözle İDEAL vəziyyətdədir. Çox ekonom maşındır. Bugünki günü heçbir xərc tələb etmir.-kor zona-xett tanıma-avtomatik tormozlanma v.sLeş Elantralarla bir tutmayın. Təcili pul lazım olduğu üçün rəal dəyərindən aşagı satılır. - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9388399","Vin ve carfax tər təmiz. Zədəsis ve udarsızdır. Dəyişən detali yoxdur. Quru ştatın maşınıdır yəni çürük, pasdan söhbət belə gedə bilməz! İstənilən servisdə yoxlatdıra bilərsiz. Avtomobil bir sözle İDEAL vəziyyətdədir. Çox ekonom maşındır. Bugünki günü heçbir xərc tələb etmir.-kor zona-xett tanıma-avtomatik tormozlanma v.sLeş Elantralarla bir tutmayın. Təcili pul lazım olduğu üçün rəal dəyərindən aşagı satılır.",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerası,23 500 AZN
"BYD Song Plus DM-İ,1.5 L,2024 il,20 565 km","ŞəhərBakıMarkaBYDModelSong Plus DM-İBuraxılış ili2024Ban növüOffroader / SUV, 5 qapıRəngYaş AsfaltMühərrik1.5 L / 282 a.g. / Plug-in HibridYürüş20 565 kmSürətlər qutusuVariatorÖtürücüTamYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbÇin - Davamını oxu• Mühərrik növü: [ Plug-in Hybrid / Turbocharged ]• Maksimum güc: [145 at gücü]• Pik fırlanma anı: [325 Nm]Sürətlənmə vaxtı (0-100 km/saat): [8,2 saniyə]• Maksimum sürət: [170 km/saat]• Transmissiya növü: [E-CVT davamlı dəyişən ötürücü]Yanacaq sərfiyyatı: [1,56 L/100 km]• Batareya tutumu: [12.9kWh], sürətli doldurma vaxtı: [0.7 saat]• Yavaş doldurma vaxtı: [3 saat]• Köməkçi yanacaq növü: [Hibrid]• Sürücü rejimi: [Ön təkər]• Tam yanacaq və tam batareya diapazonu: [1000 km]• Bədən ölçüsü (uzunluq/eni/hündürlük): [4775*1890*1670 mm]Təkər bazası: [2765 mm]• Baqajın həcmi: [574 litr]• Boş çəki: [1770 kq]• Təkər ölçüsü: [235/50 R19]İnteryer və rahatlıq• Oturacaq materialı və tənzimlənməsi: [dəri, elektrik tənzimlənməsi]• Oturacaq qızdırıcısı: [Yoxdur]• Sükan qızdırması: [Yoxdur]• Multimedia sistemi: [12,8 düym, sensor ekran, səsin tanınması, OTA yeniləməsi]• Səs sistemi: [8 dinamik]Alət paneli: [12,3 düym]• Qoşulma: [USB, Bluetooth, Wi-Fi, GPS]• Əlavə funksiyalar: [Start/Stop, Açarsız Giriş, Jestlə İdarəetmə, Kamera, Park Radar]Görünüş və dizayn• İşıqlandırma sistemi: [LED, avtomatik, gündüz işləyən işıqlar]Təkər ölçüsü: [20 düymlük yüngül lehimli disklər]• Lyuk növü (panoramik/normal): [panoramik açıla bilər]• Elektrik yük qapısı (bəli)Təhlükəsizlik və Texnologiya• Təhlükəsizlik yastıqları: [Ön, Yan, Pərdə]Aktiv təhlükəsizlik sistemləri: [ABS, ESP, adaptiv kruiz kontrol, kor nöqtənin monitorinqi, zolaqda saxlama yardımı]• Digər funksiyalar: [Radar, təkər təzyiqinə nəzarət, uşaq kilidi və s.] - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9384445","• Mühərrik növü: [ Plug-in Hybrid / Turbocharged ]• Maksimum güc: [145 at gücü]• Pik fırlanma anı: [325 Nm]Sürətlənmə vaxtı (0-100 km/saat): [8,2 saniyə]• Maksimum sürət: [170 km/saat]• Transmissiya növü: [E-CVT davamlı dəyişən ötürücü]Yanacaq sərfiyyatı: [1,56 L/100 km]• Batareya tutumu: [12.9kWh], sürətli doldurma vaxtı: [0.7 saat]• Yavaş doldurma vaxtı: [3 saat]• Köməkçi yanacaq növü: [Hibrid]• Sürücü rejimi: [Ön təkər]• Tam yanacaq və tam batareya diapazonu: [1000 km]• Bədən ölçüsü (uzunluq/eni/hündürlük): [4775*1890*1670 mm]Təkər bazası: [2765 mm]• Baqajın həcmi: [574 litr]• Boş çəki: [1770 kq]• Təkər ölçüsü: [235/50 R19]İnteryer və rahatlıq• Oturacaq materialı və tənzimlənməsi: [dəri, elektrik tənzimlənməsi]• Oturacaq qızdırıcısı: [Yoxdur]• Sükan qızdırması: [Yoxdur]• Multimedia sistemi: [12,8 düym, sensor ekran, səsin tanınması, OTA yeniləməsi]• Səs sistemi: [8 dinamik]Alət paneli: [12,3 düym]• Qoşulma: [USB, Bluetooth, Wi-Fi, GPS]• Əlavə funksiyalar: [Start/Stop, Açarsız Giriş, Jestlə İdarəetmə, Kamera, Park Radar]Görünüş və dizayn• İşıqlandırma sistemi: [LED, avtomatik, gündüz işləyən işıqlar]Təkər ölçüsü: [20 düymlük yüngül lehimli disklər]• Lyuk növü (panoramik/normal): [panoramik açıla bilər]• Elektrik yük qapısı (bəli)Təhlükəsizlik və Texnologiya• Təhlükəsizlik yastıqları: [Ön, Yan, Pərdə]Aktiv təhlükəsizlik sistemləri: [ABS, ESP, adaptiv kruiz kontrol, kor nöqtənin monitorinqi, zolaqda saxlama yardımı]• Digər funksiyalar: [Radar, təkər təzyiqinə nəzarət, uşaq kilidi və s.]",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,22 200 USD
"Land Rover Range Rover,5.0 L,2014 il,94 000 km","ŞəhərBakıMarkaLand RoverModelRange RoverBuraxılış ili2014Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik5.0 L / 550 a.g. / BenzinYürüş94 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuBez Kraska!!LONG, SV 550 At gücü, Bizness ClassAvtomobil super vəziyyətdədir. Heç bir xərc tələb etmir. Orginal yürüş, tam orginal detallarla 2021 modelə yığılıb istənilən servisdə yoxlanıla bilər. 3 cü maşın kimi sürülüb və qaraj şəraitində saxlanılır - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 8935539","Bez Kraska!!LONG, SV 550 At gücü, Bizness ClassAvtomobil super vəziyyətdədir. Heç bir xərc tələb etmir. Orginal yürüş, tam orginal detallarla 2021 modelə yığılıb istənilən servisdə yoxlanıla bilər. 3 cü maşın kimi sürülüb və qaraj şəraitində saxlanılır",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,55 000 USD
"Mercedes GL 63 AMG 4MATIC,5.5 L,2013 il,181 000 km","ŞəhərBakıMarkaMercedesModelGL 63 AMG 4MATICBuraxılış ili2013Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik5.5 L / 557 a.g. / BenzinYürüş181 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı7Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuMaşın ela veziyetdedir Servisde qulluqları olunub orginal prabeg Tam ideal sinifinin full komplektasiyasıdır.Ciddi olan şəxslər narahat etsin. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9434009",Maşın ela veziyetdedir Servisde qulluqları olunub orginal prabeg Tam ideal sinifinin full komplektasiyasıdır.Ciddi olan şəxslər narahat etsin.,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,35 000 USD
"Toyota RAV4,2.5 L,2024 il,yeni","ŞəhərBakıMarkaToyotaModelRAV4Buraxılış ili2024Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik2.5 L / 218 a.g. / HibridYürüş0 kmSürətlər qutusuVariatorÖtürücüTamYeniBəliYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxu-Yeni Rav4 2024 modeli !!! 4WD (Premium)--Qeyd: Avtomobil stokda olmadigi hallda siz sifariş edib 2-3 ay müddətinə əldə edə bilersiniz.--60 aya dek Kreditlə əldə edə bilərsiniz!--Fiiziki və hüquqi şəxslər üçün manatla kredit və lizinq mümkündür!-RƏSMİ ZƏMANƏT - 160.000 KM. VƏ YA 10 İL-AWD (4WD)-ABS + VSC-Driver’s and front passenger’s airbags-Side and curtain + knee airbags-Hill assist control (hac)-Immobilizer-Sükanda audio idarəetmə sistemi və telefon düyməsi-Dəri sükan çarxı-Mailliyə və çıxışa görə avtomatik tənzimlənən sükan-Qızdırılan ön oturacaqlar-Multi-məlumat displey-Elektriklə tənzimlənən 4 şüşəqaldırıcılar-7inch Audio Displey + Dinamiklər-Mini+USB çıxış-Kruiz kontrol-Təkər-disk ölçüləri-Elektriklə qatlanan, tənzimlənən, qızdırılan yan güzgülər-Yan güzgülərdə dönmə işıqları-Arxa spoyler-LED tipli ön faralar və ön fara təmizləyicilər-Ön faraların səviyyə tənzimləyicisi-LED tipli Gündüz işıqları-Ön və arxa duman əleyhinə faralar-Arxa görünüş kamerası-Tavan üstü reyling--Daha ətraflı məlumat almaq üçün bizimlə əlaqə saxlayın! - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9313014","-Yeni Rav4 2024 modeli !!! 4WD (Premium)--Qeyd: Avtomobil stokda olmadigi hallda siz sifariş edib 2-3 ay müddətinə əldə edə bilersiniz.--60 aya dek Kreditlə əldə edə bilərsiniz!--Fiiziki və hüquqi şəxslər üçün manatla kredit və lizinq mümkündür!-RƏSMİ ZƏMANƏT - 160.000 KM. VƏ YA 10 İL-AWD (4WD)-ABS + VSC-Driver’s and front passenger’s airbags-Side and curtain + knee airbags-Hill assist control (hac)-Immobilizer-Sükanda audio idarəetmə sistemi və telefon düyməsi-Dəri sükan çarxı-Mailliyə və çıxışa görə avtomatik tənzimlənən sükan-Qızdırılan ön oturacaqlar-Multi-məlumat displey-Elektriklə tənzimlənən 4 şüşəqaldırıcılar-7inch Audio Displey + Dinamiklər-Mini+USB çıxış-Kruiz kontrol-Təkər-disk ölçüləri-Elektriklə qatlanan, tənzimlənən, qızdırılan yan güzgülər-Yan güzgülərdə dönmə işıqları-Arxa spoyler-LED tipli ön faralar və ön fara təmizləyicilər-Ön faraların səviyyə tənzimləyicisi-LED tipli Gündüz işıqları-Ön və arxa duman əleyhinə faralar-Arxa görünüş kamerası-Tavan üstü reyling--Daha ətraflı məlumat almaq üçün bizimlə əlaqə saxlayın!",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerası,39 800 USD
"Ford Transit,2.2 L,2009 il,178 000 km","ŞəhərBakıMarkaFordModelTransitBuraxılış ili2009Ban növüFurqonRəngAğMühərrik2.2 L / 140 a.g. / DizelYürüş178 000 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrYerlərin sayı3VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuYeni qelib. SOYUDUCU. Uzunluqu 3.30Satishda bashka modellerde var.Satish EDV daxil mumkundur.Unvan: Nefciler, Bakcell arena. - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaKondisioner - Düzəliş etElanı silElanın nömrəsi: 8971440","Yeni qelib. SOYUDUCU. Uzunluqu 3.30Satishda bashka modellerde var.Satish EDV daxil mumkundur.Unvan: Nefciler, Bakcell arena.",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaKondisioner,29 400 AZN
"Toyota Aqua,1.5 L,2019 il,51 000 km","ŞəhərBakıMarkaToyotaModelAquaBuraxılış ili2019Ban növüHetçbek, 5 qapıRəngAğMühərrik1.5 L / 74 a.g. / HibridYürüş51 000 kmSürətlər qutusuVariatorÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxu● -----------------------------------------------------● Mühərrik gücü-1500● Mühərrikin at gücü-75● Yanacaq - AI - 92● Ön ötürücü● Sürətlər qutusu 6 pilləli● 100 km-də yanacaq sərfiyyatı - 3.5 L● Maksimal sürət: 190km/saat● 0-100km/sürətlənmə: 9.5 s● Kruiz kontrol● Klimat kontrol● Full LCD monitor● R15 düymlük disklər● eco/comfort/sport rejim● GPS.Naviqasiya.Bluetooth● -----------------------------------------------------Ilkin odenis minimum 6500 azn olmaq şərti ilə 36 aya qədər Sizlerə Bank Krediti ( kasko siğorta ve Bank xerci daxil illik 12% olmaqla ) təklif edirik. sənədləşdirmə 1 saat ərzində olunur. Baki və Rayon Qeydiyyatinda olan Şəxslərə Tek Şəxsiyyət vəsiqəsi ilə Mümkündür.● -----------------------------------------------------Avtomobillərə “AvtoExpressBaku” MMC tərəfindən rəsmi zəmanət verilir.( Zəmanətə daxildir: Mühərrik, Sürətlər qutusu, Sükan sütunu, Elektronika sistemi)● -----------------------------------------------------Ünvan -- Bakı ş. Binəqədi rayonu. Hüseyn Seyidzadə küç. 2 - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 8889313","● -----------------------------------------------------● Mühərrik gücü-1500● Mühərrikin at gücü-75● Yanacaq - AI - 92● Ön ötürücü● Sürətlər qutusu 6 pilləli● 100 km-də yanacaq sərfiyyatı - 3.5 L● Maksimal sürət: 190km/saat● 0-100km/sürətlənmə: 9.5 s● Kruiz kontrol● Klimat kontrol● Full LCD monitor● R15 düymlük disklər● eco/comfort/sport rejim● GPS.Naviqasiya.Bluetooth● -----------------------------------------------------Ilkin odenis minimum 6500 azn olmaq şərti ilə 36 aya qədər Sizlerə Bank Krediti ( kasko siğorta ve Bank xerci daxil illik 12% olmaqla ) təklif edirik. sənədləşdirmə 1 saat ərzində olunur. Baki və Rayon Qeydiyyatinda olan Şəxslərə Tek Şəxsiyyət vəsiqəsi ilə Mümkündür.● -----------------------------------------------------Avtomobillərə “AvtoExpressBaku” MMC tərəfindən rəsmi zəmanət verilir.( Zəmanətə daxildir: Mühərrik, Sürətlər qutusu, Sükan sütunu, Elektronika sistemi)● -----------------------------------------------------Ünvan -- Bakı ş. Binəqədi rayonu. Hüseyn Seyidzadə küç. 2",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerası,19 200 AZN
